user,institution,started_at,submitted_at,wave,confidence_rating,community_belonging,reflection_text,custom_q_peer_connection
S0103,PartnerB,2023-11-22 14:20:00,2023-11-22 14:28:35,post,5,3,I learned a lot about perspective-taking.,4
S0085,PartnerB,2023-11-24 19:39:00,2023-11-24 19:53:38,post,3,5,,5
S0046,PartnerB,2023-09-01 16:32:00,2023-09-01 16:35:11,pre,3,3,I learned a lot about perspective-taking.,1
S0143,PartnerB,2023-11-27 15:07:00,2023-11-27 15:11:37,post,5,5,,3
S0026,PartnerB,2023-08-24 16:08:00,2023-08-24 16:14:25,pre,2,5,This helped me feel more connected to peers.,4
S0138,PartnerB,2023-08-24 08:36:00,2023-08-24 08:40:13,pre,2,3,,2
S0061,PartnerB,2023-11-20 21:03:00,2023-11-20 21:14:43,post,2,4,,3
S0069,PartnerB,2023-08-23 17:32:00,2023-08-23 17:40:48,pre,2,3,,2
S0057,PartnerB,2023-11-26 17:19:00,2023-11-26 17:32:02,post,4,5,I wish we had more time for small-group work.,3
S0010,PartnerB,2023-11-20 15:22:00,2023-11-20 15:29:15,post,3,5,I learned a lot about perspective-taking.,5
S0140,PartnerB,2023-08-23 13:10:00,2023-08-23 13:18:26,pre,3,3,The dialogue exercises were eye-opening.,1
S0036,PartnerB,2023-08-22 16:33:00,2023-08-22 16:40:01,pre,5,1,,3
S0020,PartnerB,2023-08-29 09:02:00,2023-08-29 09:11:20,pre,3,6,This helped me feel more connected to peers.,2
S0050,PartnerB,2023-08-26 21:35:00,2023-08-26 21:47:54,pre,5,3,The dialogue exercises were eye-opening.,2
S0089,PartnerB,2023-11-19 19:33:00,2023-11-19 19:43:12,post,4,5,The dialogue exercises were eye-opening.,4
S0180,PartnerB,2023-11-16 16:18:00,2023-11-16 16:31:35,post,2,5,This helped me feel more connected to peers.,4
S0048,PartnerB,2023-08-21 17:54:00,2023-08-21 18:02:37,pre,3,3,,3
S0076,PartnerB,2023-08-22 13:42:00,2023-08-22 13:45:52,pre,1,2,,3
S0151,PartnerB,2023-08-24 13:47:00,2023-08-24 13:57:29,pre,2,3,I wish we had more time for small-group work.,2
S0019,PartnerB,2023-08-26 17:06:00,2023-08-26 17:18:42,pre,3,2,,3
S0171,PartnerB,2023-08-24 20:19:00,2023-08-24 20:29:04,pre,2,5,The dialogue exercises were eye-opening.,2
S0145,PartnerB,2023-11-22 19:33:00,2023-11-22 19:39:24,post,4,5,The dialogue exercises were eye-opening.,2
S0007,PartnerB,2023-11-15 16:16:00,2023-11-15 16:21:14,post,4,5,,3
S0194,PartnerB,2023-09-01 17:51:00,2023-09-01 17:55:02,pre,3,3,The dialogue exercises were eye-opening.,1
S0132,PartnerB,2023-11-26 12:06:00,2023-11-26 12:10:45,post,1,4,The dialogue exercises were eye-opening.,3
S0147,PartnerB,2023-11-28 11:52:00,2023-11-28 12:00:17,post,4,4,The dialogue exercises were eye-opening.,4
S0073,PartnerB,2023-08-29 11:04:00,2023-08-29 11:13:26,pre,2,3,I wish we had more time for small-group work.,4
S0136,PartnerB,2023-11-20 12:58:00,2023-11-20 13:05:12,post,2,4,,5
S0058,PartnerB,2023-08-26 21:44:00,2023-08-26 21:50:37,pre,3,3,,3
S0180,PartnerB,2023-08-27 18:32:00,2023-08-27 18:38:47,pre,3,3,,3
S0168,PartnerB,2023-08-26 14:06:00,2023-08-26 14:10:03,pre,3,1,I learned a lot about perspective-taking.,3
S0088,PartnerB,2023-08-27 16:08:00,2023-08-27 16:17:12,pre,3,3,This helped me feel more connected to peers.,3
S0170,PartnerB,2023-11-27 12:30:00,2023-11-27 12:35:43,post,4,3,This helped me feel more connected to peers.,5
S0079,PartnerB,2023-11-27 19:11:00,2023-11-27 19:25:49,post,3,5,This helped me feel more connected to peers.,2
S0065,PartnerB,2023-09-01 11:47:00,2023-09-01 11:54:42,pre,4,3,The dialogue exercises were eye-opening.,2
S0153,PartnerB,2023-08-21 10:27:00,2023-08-21 10:33:55,pre,4,2,,3
S0152,PartnerB,2023-11-16 16:08:00,2023-11-16 16:12:15,post,3,4,This helped me feel more connected to peers.,5
S0073,PartnerB,2023-11-23 14:15:00,2023-11-23 14:26:47,post,2,4,This helped me feel more connected to peers.,2
S0193,PartnerB,2023-11-19 08:09:00,2023-11-19 08:10:50,post,5,5,The dialogue exercises were eye-opening.,3
S0110,PartnerB,2023-11-26 11:05:00,2023-11-26 11:10:57,post,3,5,,5
S0184,PartnerB,2023-08-24 09:21:00,2023-08-24 09:24:43,pre,3,3,,3
S0007,PartnerB,2023-08-22 20:37:00,2023-08-22 20:38:52,pre,3,5,I learned a lot about perspective-taking.,5
S0005,PartnerB,2023-08-24 21:59:00,2023-08-24 22:04:25,pre,4,5,The dialogue exercises were eye-opening.,3
S0025,PartnerB,2023-08-26 15:53:00,2023-08-26 16:01:15,pre,3,3,The dialogue exercises were eye-opening.,3
S0036,PartnerB,2023-08-22 16:33:00,2023-08-22 16:40:01,pre,5,1,,3
S0043,PartnerB,2023-08-24 12:58:00,2023-08-24 13:00:53,pre,4,4,I wish we had more time for small-group work.,3
S0055,PartnerB,2023-08-30 17:02:00,2023-08-30 17:13:59,pre,2,3,I wish we had more time for small-group work.,3
S0045,PartnerB,2023-08-23 11:08:00,2023-08-23 11:20:47,pre,5,4,,4
S0175,PartnerB,2023-11-20 11:51:00,2023-11-20 11:56:34,post,4,4,This helped me feel more connected to peers.,3
S0056,PartnerB,2023-11-22 19:55:00,2023-11-22 19:59:05,post,2,2,,5
S0166,PartnerB,2023-11-28 10:34:00,2023-11-28 10:45:54,post,3,5,I learned a lot about perspective-taking.,5
S0098,PartnerB,2023-11-28 19:10:00,2023-11-28 19:13:46,post,4,5,This helped me feel more connected to peers.,2
S0158,PartnerB,2023-08-29 15:08:00,2023-08-29 15:20:00,pre,2,5,I learned a lot about perspective-taking.,2
S0115,PartnerB,2023-08-20 12:43:00,2023-08-20 12:55:20,pre,3,4,,5
S0135,PartnerB,2023-08-23 09:59:00,2023-08-23 10:03:50,pre,3,4,I learned a lot about perspective-taking.,3
S0014,PartnerB,2023-11-22 08:48:00,2023-11-22 08:54:14,post,5,2,,3
S0169,PartnerB,2023-11-18 17:14:00,2023-11-18 17:22:30,post,4,4,I wish we had more time for small-group work.,3
S0026,PartnerB,2023-11-15 08:24:00,2023-11-15 08:26:30,post,4,4,I wish we had more time for small-group work.,3
S0074,PartnerB,2023-11-26 08:56:00,2023-11-26 09:02:15,post,5,5,I learned a lot about perspective-taking.,3
S0178,PartnerB,2023-08-30 18:09:00,2023-08-30 18:11:58,pre,4,4,The dialogue exercises were eye-opening.,1
S0192,PartnerB,2023-08-26 20:42:00,2023-08-26 20:44:57,pre,3,4,I learned a lot about perspective-taking.,3
S0147,PartnerB,2023-08-21 21:49:00,2023-08-21 21:57:21,pre,4,5,,5
S0118,PartnerB,2023-11-22 15:13:00,2023-11-22 15:17:03,post,2,3,I learned a lot about perspective-taking.,2
S0070,PartnerB,2023-08-29 16:13:00,2023-08-29 16:15:46,pre,3,3,,4
S0074,PartnerB,2023-08-24 11:39:00,2023-08-24 11:44:37,pre,2,4,I wish we had more time for small-group work.,2
S0164,PartnerB,2023-08-20 18:38:00,2023-08-20 18:49:22,pre,3,3,,2
S0100,PartnerB,2023-11-19 11:05:00,2023-11-19 11:16:31,post,3,4,This helped me feel more connected to peers.,5
S0091,PartnerB,2023-11-26 18:21:00,2023-11-26 18:33:31,post,4,3,I learned a lot about perspective-taking.,3
S0089,PartnerB,2023-08-27 09:53:00,2023-08-27 10:07:30,pre,4,4,I wish we had more time for small-group work.,2
S0128,PartnerB,2023-09-01 14:48:00,2023-09-01 15:00:56,pre,3,2,I learned a lot about perspective-taking.,2
S0069,PartnerB,2023-11-16 12:46:00,2023-11-16 12:56:50,post,4,5,The dialogue exercises were eye-opening.,4
S0036,PartnerB,2023-11-24 16:14:00,2023-11-24 16:16:09,post,3,3,This helped me feel more connected to peers.,2
S0050,PartnerB,2023-11-22 20:54:00,2023-11-22 21:00:38,post,4,3,I learned a lot about perspective-taking.,4
S0175,PartnerB,2023-09-01 16:12:00,2023-09-01 16:23:11,pre,3,4,The dialogue exercises were eye-opening.,4
S0172,PartnerB,2023-11-25 13:35:00,2023-11-25 13:45:40,post,3,4,,4
S0135,PartnerB,2023-11-15 20:12:00,2023-11-15 20:14:28,post,5,4,I learned a lot about perspective-taking.,3
S0154,PartnerB,2023-11-26 12:09:00,2023-11-26 12:19:47,post,4,5,I learned a lot about perspective-taking.,3
S0158,PartnerB,2023-11-19 15:31:00,2023-11-19 15:39:43,post,3,4,,3
S0054,PartnerB,2023-11-23 11:01:00,2023-11-23 11:14:52,post,1,4,The dialogue exercises were eye-opening.,3
S0087,PartnerB,2023-11-17 18:57:00,2023-11-17 19:02:50,post,3,5,,2
S0096,PartnerB,2023-08-24 17:54:00,2023-08-24 18:03:49,pre,3,4,,5
S0028,PartnerB,2023-08-28 09:24:00,2023-08-28 09:29:57,pre,3,4,The dialogue exercises were eye-opening.,4
S0118,PartnerB,2023-09-02 18:19:00,2023-09-02 18:25:10,pre,1,3,,3
S0103,PartnerB,2023-08-21 15:10:00,2023-08-21 15:13:57,pre,4,2,,3
S0178,PartnerB,2023-11-18 11:43:00,2023-11-18 11:47:00,post,4,3,I learned a lot about perspective-taking.,5
S0102,PartnerB,2023-08-25 17:24:00,2023-08-25 17:28:54,pre,2,4,I wish we had more time for small-group work.,2
S0068,PartnerB,2023-11-27 17:07:00,2023-11-27 17:11:01,post,4,3,,5
S0032,PartnerB,2023-08-26 11:04:00,2023-08-26 11:15:06,pre,3,2,I learned a lot about perspective-taking.,2
S0020,PartnerB,2023-11-21 19:19:00,2023-11-21 19:24:50,post,2,4,The dialogue exercises were eye-opening.,5
S0086,PartnerB,2023-11-19 19:00:00,2023-11-19 19:02:56,post,1,4,,3
S0054,PartnerB,2023-09-01 21:55:00,2023-09-01 22:00:20,pre,3,2,I wish we had more time for small-group work.,2
S0056,PartnerB,2023-08-31 13:00:46,2023-08-31 13:02:46,pre,4,2,The dialogue exercises were eye-opening.,1
S0067,PartnerB,2023-08-26 13:00:00,2023-08-26 13:04:21,pre,2,2,I wish we had more time for small-group work.,3
S0056,PartnerB,2023-08-31 12:48:00,2023-08-31 12:57:46,pre,5,2,The dialogue exercises were eye-opening.,1
S0133,PartnerB,2023-08-20 13:04:00,2023-08-20 13:12:01,pre,3,1,I learned a lot about perspective-taking.,3
S0096,PartnerB,2023-11-18 15:23:00,2023-11-18 15:27:11,post,2,4,This helped me feel more connected to peers.,4
S0091,PartnerB,2023-08-27 21:06:00,2023-08-27 21:18:32,pre,3,4,This helped me feel more connected to peers.,4
S0045,PartnerB,2023-11-23 19:21:00,2023-11-23 19:30:50,post,1,4,I learned a lot about perspective-taking.,5
S0187,PartnerB,2023-11-23 19:46:00,2023-11-23 19:52:00,post,4,5,I learned a lot about perspective-taking.,5
S0172,PartnerB,2023-11-25 13:35:00,2023-11-25 13:45:40,post,3,4,,4
S9903,PartnerB,2023-08-20 18:24:00,2023-08-20 18:29:40,pre,3,3,,3
S0141,PartnerB,2023-08-31 10:46:00,2023-08-31 11:00:00,pre,4,5,,3
S0115,PartnerB,2023-11-28 18:34:00,2023-11-28 18:40:18,post,4,3,,2
S0065,PartnerB,2023-11-18 21:26:00,2023-11-18 21:38:38,post,4,4,This helped me feel more connected to peers.,3
S0170,PartnerB,2023-08-24 15:51:00,2023-08-24 15:57:08,pre,4,4,,1
S0003,PartnerB,2023-11-19 13:25:00,2023-11-19 13:28:27,post,4,5,,3
S0187,PartnerB,2023-08-23 18:20:00,2023-08-23 18:23:36,pre,2,3,,2
S0015,PartnerB,2023-08-30 15:18:00,2023-08-30 15:24:47,pre,3,5,I learned a lot about perspective-taking.,3
S0080,PartnerB,2023-11-28 18:49:00,2023-11-28 18:54:42,post,3,5,,1
S0063,PartnerB,2023-11-17 12:25:00,2023-11-17 12:31:57,post,5,5,,3
S0124,PartnerB,2023-11-17 13:43:00,2023-11-17 13:47:43,post,5,4,The dialogue exercises were eye-opening.,3
S0143,PartnerB,2023-11-27 15:07:00,2023-11-27 15:11:37,post,5,5,,3
S0086,PartnerB,2023-11-19 19:05:56,2023-11-19 19:11:56,post,1,5,,3
S0189,PartnerB,2023-11-21 17:17:00,2023-11-21 17:17:08,post,2,3,This helped me feel more connected to peers.,5
S0098,PartnerB,2023-08-23 18:14:00,2023-08-23 18:27:19,pre,4,2,This helped me feel more connected to peers.,3
S0106,PartnerB,2023-08-29 12:04:00,2023-08-29 12:14:03,pre,4,5,,3
S0141,PartnerB,2023-11-18 14:44:00,2023-11-18 14:48:12,post,4,3,This helped me feel more connected to peers.,4
S0041,PartnerB,2023-11-24 13:00:00,2023-11-24 13:01:51,post,4,3,I wish we had more time for small-group work.,4
S0014,PartnerB,2023-08-26 11:05:00,2023-08-26 11:14:50,pre,3,3,,3
S0081,PartnerB,2023-11-19 14:59:00,2023-11-19 15:04:10,post,3,3,The dialogue exercises were eye-opening.,5
S0188,PartnerB,2023-11-19 14:46:00,2023-11-19 14:55:29,post,2,5,I learned a lot about perspective-taking.,2
S0061,PartnerB,2023-08-30 11:33:00,2023-08-30 11:40:50,pre,3,4,I learned a lot about perspective-taking.,3
S0081,PartnerB,2023-08-23 14:39:00,2023-08-23 14:53:34,pre,2,2,This helped me feel more connected to peers.,4
S0043,PartnerB,2023-11-20 10:56:00,2023-11-20 11:05:02,post,5,5,,2
S0010,PartnerB,2023-08-23 18:09:00,2023-08-23 18:19:39,pre,1,5,This helped me feel more connected to peers.,4
S0101,PartnerB,2023-08-31 16:30:00,2023-08-31 16:41:25,pre,1,4,,3
S0172,PartnerB,2023-08-22 21:56:00,2023-08-22 22:03:51,pre,4,4,The dialogue exercises were eye-opening.,2
S0132,PartnerB,2023-08-27 14:33:00,2023-08-27 14:41:49,pre,2,5,I wish we had more time for small-group work.,3
S0168,PartnerB,2023-11-22 12:20:00,2023-11-22 12:29:11,post,5,3,,4
S0106,PartnerB,2023-11-20 16:01:00,2023-11-20 16:04:07,post,4,5,,3
S0087,PartnerB,2023-08-22 14:50:00,2023-08-22 15:00:29,pre,3,2,This helped me feel more connected to peers.,2
S0022,PartnerB,2023-09-01 20:33:00,2023-09-01 20:46:36,pre,2,4,,2
